featurecla,scalerank,min_zoom,vertex_index,vertex_part,vertex_part_ring,vertex_part_index,distance,angle,long,lat
Land,"0",0.0,"156","0","0","156",112.84591398351095,51.35342479638670,125.167,-14.680
Land,"0",0.0,"157","0","0","157",113.37679097004037,37.25218206835905,125.670,-14.510
Land,"0",0.0,"158","0","0","158",113.65664671565986,54.04574726583666,125.686,-14.231
Land,"0",0.0,"159","0","0","159",114.11123065895725,54.44775413494618,126.125,-14.347
Land,"0",0.0,"160","0","0","160",114.36320538793314,37.99293211595896,126.143,-14.096
Land,"0",0.0,"161","0","0","161",114.82569802736310,73.18797702232472,126.583,-13.953
Land,"0",0.0,"162","0","0","162",115.32743010775398,98.13078473241443,127.066,-13.818
Land,"0",0.0,"163","0","0","163",116.19714273914154,129.35345631360852,127.805,-14.277
Land,"0",0.0,"164","0","0","164",117.00884708469582,113.74093779356316,128.360,-14.869
Land,"0",0.0,"165","0","0","165",117.63473752831626,94.50723214073700,128.986,-14.876
Land,"0",0.0,"166","0","0","166",118.27754719195086,38.64555070809928,129.621,-14.970
Land,"0",0.0,"167","0","0","167",118.86611856215326,4.87616285872151,129.410,-14.421
Land,"0",0.0,"168","0","0","168",119.80026532714761,45.37592756474874,129.889,-13.619
Land,"0",0.0,"169","0","0","169",120.32135604187738,13.96413424325074,130.339,-13.357
Land,"0",0.0,"170","0","0","170",120.61589152877627,2.63860123904691,130.184,-13.108
Land,"0",0.0,"171","0","0","171",121.33338286610400,48.51708214393938,130.618,-12.536
Land,"0",0.0,"172","0","0","172",122.03431060415400,81.42912194784179,131.223,-12.184
Land,"0",0.0,"173","0","0","173",122.55952063936354,90.21721389885138,131.735,-12.302
Land,"0",0.0,"174","0","0","174",123.42059390942342,37.66688988564067,132.575,-12.114
Land,"0",0.0,"175","0","0","175",123.93194211912105,326.08733701816658,132.557,-11.603
Land,"0",0.0,"176","0","0","176",124.73504153821897,4.47187402411538,131.825,-11.274
Land,"0",0.0,"177","0","0","177",125.28702408450584,92.63067639868567,132.357,-11.129
Land,"0",0.0,"178","0","0","178",125.99423016981464,119.09209012022598,133.020,-11.376
Land,"0",0.0,"179","0","0","179",126.66538559457786,117.28129883837808,133.551,-11.787
Land,"0",0.0,"180","0","0","180",127.54561167881664,88.69360118042698,134.393,-12.042
Land,"0",0.0,"181","0","0","181",127.84857152285863,93.43445435563360,134.679,-11.941
Land,"0",0.0,"182","0","0","182",128.54047751237692,90.13411481844459,135.298,-12.249
Land,"0",0.0,"183","0","0","183",129.19107888175267,83.46904859729868,135.883,-11.962
Land,"0",0.0,"184","0","0","184",129.57672540219383,76.83591439591488,136.258,-12.049
Land,"0",0.0,"185","0","0","185",129.87957056490845,93.88008557464164,136.492,-11.857
Land,"0",0.0,"186","0","0","186",130.55454608094308,171.80262058394140,136.952,-12.352
Land,"0",0.0,"187","0","0","187",131.15248240467616,214.84628187707679,136.685,-12.887
Land,"0",0.0,"188","0","0","188",131.70692555851417,243.84677772012543,136.305,-13.291
Land,"0",0.0,"189","0","0","189",132.05218150704985,214.15314211275452,135.962,-13.325
Land,"0",0.0,"190","0","0","190",132.46840063658047,187.14449028073329,136.078,-13.724
Land,"0",0.0,"191","0","0","191",133.04807138470792,213.15371378447307,135.784,-14.224
Land,"0",0.0,"192","0","0","192",133.65442386451369,190.81993930994801,135.429,-14.715
Land,"0",0.0,"193","0","0","193",133.94565082194538,145.29167708872879,135.500,-14.998
Land,"0",0.0,"194","0","0","194",134.91378960378097,118.69662836984367,136.295,-15.550
Land,"0",0.0,"195","0","0","195",135.74799836244284,118.17698350674672,137.065,-15.871
Land,"0",0.0,"196","0","0","196",136.36759122805964,126.55294566016818,137.580,-16.215
Land,"0",0.0,"197","0","0","197",137.30217397449010,109.57302644624802,138.303,-16.808
Land,"0",0.0,"198","0","0","198",137.58412229867264,102.93504976831503,138.585,-16.807
Land,"0",0.0,"199","0","0","199",138.16678045264825,134.93304083963017,139.109,-17.063
Land,"0",0.0,"200","0","0","200",138.51108609117003,131.67854943387792,139.261,-17.372
Land,"0",0.0,"201","0","0","201",139.52422725337442,86.09702770876299,140.215,-17.711
Land,"0",0.0,"202","0","0","202",140.26764611279071,41.32552042697916,140.875,-17.369
Land,"0",0.0,"203","0","0","203",140.83919647154536,22.31323424959702,141.071,-16.832
Land,"0",0.0,"204","0","0","204",141.32664785167557,18.68192623484366,141.274,-16.389
Land,"0",0.0,"205","0","0","205",141.88886018310714,16.83211675245877,141.398,-15.841
